SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
40,1,2,42,Pennsylvania,13002788,12995477,13013614,12972091,12961683,-7311,18137,-41523,-10408,32903,130245,131600,129489,40289,155661,155062,140568,-7386,-25416,-23462,-11079,626,10199,25721,25776,-3696,27803,-39731,-24825,-3070,38002,-14010,951,3145,5551,-4051,-280,10.01534425,10.12864573,9.986128513,11.96973781,11.93440778,10.84053559,-1.954393562,-1.805762053,-0.854407075,0.784264241,1.979626876,1.987832546,2.137944767,-3.057912033,-1.91449189,2.922209008,-1.078285157,0.073340656
40,1,1,44,Rhode Island,1097371,1096444,1097092,1093842,1095962,-927,648,-3250,2120,2546,10030,10386,10006,3389,11332,11078,10434,-843,-1302,-692,-428,77,1072,2663,5777,-430,365,-4855,-3224,-353,1437,-2192,2553,269,513,-366,-5,9.145051643,9.48088806,9.138717438,10.33217599,10.11258212,9.529620003,-1.187124351,-0.631694063,-0.390902565,0.977417284,2.430926719,5.276271301,0.332795997,-4.43189982,-2.944555768,1.310213281,-2.000973101,2.331715533
40,3,5,45,South Carolina,5118422,5132151,5193848,5282955,5373555,13729,61697,89107,90600,13492,55815,57508,57581,14065,64911,64636,58852,-573,-9096,-7128,-1271,335,4028,10467,9291,14724,67368,83401,82562,15059,71396,93868,91853,-757,-603,2367,18,10.81057629,10.97815813,10.80672753,12.57234288,12.33887857,11.04526717,-1.761766585,-1.360720441,-0.238539634,0.780166645,1.998128628,1.743722851,13.04822904,15.92107821,15.49512927,13.82839568,17.91920684,17.23885212
40,2,4,46,South Dakota,886668,887852,896299,909869,919318,1184,8447,13570,9449,2832,11063,11324,11369,2020,9779,9226,8556,812,1284,2098,2813,65,1100,2781,1788,299,6026,8374,4812,364,7126,11155,6600,8,37,317,36,12.4014167,12.53925438,12.43065909,10.96207664,10.21610393,9.354975735,1.439340056,2.323150449,3.07568335,1.233079487,3.079447759,1.954966879,6.755033627,9.272670095,5.261353815,7.988113114,12.35211785,7.216320693
40,3,6,47,Tennessee,6910786,6926091,6963709,7048976,7126489,15305,37618,85267,77513,19250,79463,82053,82244,18931,89405,91616,81216,319,-9942,-9563,1028,208,3114,7993,13054,14621,45241,83818,63417,14829,48355,91811,76471,157,-795,3019,14,11.44192141,11.71124592,11.60371106,12.8734755,13.07615207,11.45867173,-1.43155409,-1.364906155,0.145039334,0.448386586,1.140823475,1.841773797,6.514276664,11.96316052,8.947431354,6.962663249,13.103984,10.78920515
40,3,7,48,Texas,29145459,29234361,29561286,30029848,30503301,88902,326925,468562,473453,88268,364918,384024,390494,55732,270419,261745,232241,32536,94499,122279,158253,1957,43475,117197,128534,52914,191643,224896,186767,54871,235118,342093,315301,1495,-2692,4190,-101,12.41309582,12.8886287,12.90182343,9.198606149,8.784696059,7.673184159,3.214489671,4.103932642,5.22863927,1.478850977,3.933370357,4.246730994,6.51895199,7.547968461,6.17073465,7.997802967,11.48133882,10.41746564
40,4,8,49,Utah,3271614,3283982,3339284,3381236,3417734,12368,55302,41952,36498,11862,45703,46371,45965,4964,21993,23370,21169,6898,23710,23001,24796,120,2054,5462,10285,4636,29664,13803,1338,4756,31718,19265,11623,714,-126,-314,79,13.80074423,13.79982501,13.52116571,6.641134449,6.954818972,6.227119696,7.159609776,6.845006041,7.29404601,0.62023781,1.625469458,3.025458268,8.957514314,4.107717855,0.393589029,9.577752124,5.733187313,3.419047297
40,1,1,50,Vermont,643077,642936,647093,647110,647464,-141,4157,17,354,1303,5153,5385,5072,1565,6447,7216,6876,-262,-1294,-1831,-1804,21,415,1009,1312,-66,4842,1126,844,-45,5257,2135,2156,166,194,-287,2,7.98896769,8.321723872,7.835782273,9.995124141,11.15126452,10.62279947,-2.006156451,-2.829540652,-2.787017196,0.643396389,1.559260796,2.026921597,7.506807987,1.740067053,1.303903833,8.150204375,3.299327849,3.33082543
40,3,5,51,Virginia,8631373,8637193,8657348,8679099,8715698,5820,20155,21751,36599,23580,94275,96018,95669,19723,83763,86329,79980,3857,10512,9689,15689,764,14296,37444,28117,-31,-5468,-24930,-6985,733,8828,12514,21132,1230,815,-452,-222,10.90228414,11.07701019,10.99972595,9.686640426,9.959249436,9.19585322,1.215643711,1.11776075,1.803872733,1.653238441,4.319685573,3.232805764,-0.632338262,-2.876021828,-0.803113713,1.020900179,1.443663745,2.429692051
40,4,9,53,Washington,7705267,7724566,7741433,7784477,7812880,19299,16867,43044,28403,21105,82602,83874,82523,15173,64924,70848,67663,5932,17678,13026,14860,673,13996,37322,28919,11889,-15418,-4692,-15276,12562,-1422,32630,13643,805,611,-2612,-100,10.68175422,10.80439085,10.58166457,8.395707254,9.126421575,8.676213541,2.28604696,1.677969279,1.905451033,1.809905716,4.807705313,3.708192356,-1.993792965,-0.604409017,-1.958793403,-0.183887248,4.203296296,1.749398953
40,3,5,54,West Virginia,1793713,1791562,1785249,1774035,1770071,-2151,-6313,-11214,-3964,4296,17056,17100,17263,5871,27613,30006,25929,-1575,-10557,-12906,-8666,36,727,1792,1101,-813,2878,414,3595,-777,3605,2206,4696,201,639,-514,6,9.536986998,9.608674104,9.741807948,15.44001067,16.86069445,14.63218087,-5.903023671,-7.25202035,-4.890372918,0.406507361,1.006944093,0.621313245,1.609254724,0.232631057,2.02872036,2.015762085,1.239575151,2.650033605
40,2,3,55,Wisconsin,5893713,5896700,5879978,5890543,5910955,2987,-16722,10565,20412,15554,60034,60702,59839,14171,61983,63601,58692,1383,-1949,-2899,1147,215,3189,7906,13653,13,-19290,7392,5648,228,-16101,15298,19301,1376,1328,-1834,-36,10.19540485,10.31424183,10.14091601,10.52639802,10.80682835,9.946533906,-0.330993171,-0.492586522,0.194382103,0.541578873,1.343355999,2.313774065,-3.275966278,1.256019169,0.957166624,-2.734387405,2.599375168,3.270940689
40,4,8,56,Wyoming,576850,577664,579548,581629,584057,814,1884,2081,2428,1584,6164,6046,5882,1290,6176,6754,5779,294,-12,-708,103,18,134,364,322,436,1764,2475,2016,454,1898,2839,2338,66,-2,-50,-13,10.6531906,10.41357175,10.09191154,10.6739301,11.63302408,9.91519157,-0.020739501,-1.219452332,0.176719974,0.2315911,0.626950069,0.552464386,3.048706719,4.26291599,3.458907459,3.280297819,4.889866058,4.011371845
40,X,X,72,Puerto Rico,3285874,3281557,3262693,3220113,3205691,-4317,-18864,-42580,-14422,4545,18794,19698,18805,7301,33341,34137,35099,-2756,-14547,-14439,-16294,-1561,-4317,-28141,1872,0,0,0,0,-1561,-4317,-28141,1872,0,0,0,0,5.743668106,6.059366286,5.85296408,10.18940291,10.50099436,10.92439172,-4.445734805,-4.441628074,-5.071427638,-1.319326126,-8.656545165,0.582650825,0,0,0,-1.319326126,-8.656545165,0.582650825
